iter	Logloss
0	0.5538926542
1	0.4319659812
2	0.3481751072
3	0.2808263149
4	0.2430137607
5	0.1972185143
6	0.1669991092
7	0.1439429268
8	0.1301427825
9	0.1185859299
10	0.1070412276
11	0.09959417475
12	0.09161649676
13	0.08571636086
14	0.07494381938
15	0.06900563844
16	0.06335531119
17	0.05973317102
18	0.05402917628
19	0.05031900605
20	0.0474026634
21	0.04564665681
22	0.04313859359
23	0.04029492808
24	0.03860198411
25	0.0372467946
26	0.03512781854
27	0.03241862612
28	0.0310641514
29	0.03019878091
30	0.02912106767
31	0.02805323192
32	0.0263281057
33	0.0242230811
34	0.02259050957
35	0.02147348539
36	0.02021195545
37	0.01898210824
38	0.01772586244
39	0.01673370331
40	0.01627927017
41	0.01530312761
42	0.01500290977
43	0.01425789033
44	0.01404140091
45	0.01380431095
46	0.01305737906
47	0.01237727738
48	0.01175892681
49	0.01126435919
50	0.01073943842
51	0.01025725129
52	0.009856881906
53	0.00944141998
54	0.009057932407
55	0.008700716293
56	0.00841119309
57	0.008140956544
58	0.007844874682
59	0.007608272897
60	0.007346910252
61	0.007135806624
62	0.00693543322
63	0.006746353883
64	0.006564216702
65	0.006393139769
66	0.006229915555
67	0.00607403041
68	0.005924051849
69	0.005781453149
70	0.005646131093
71	0.005515666111
72	0.005367907421
73	0.005250343275
74	0.005137406699
75	0.005027958654
76	0.004923611987
77	0.004823279191
78	0.004725580762
79	0.004633258551
80	0.004544496325
81	0.004458348072
82	0.004375072836
83	0.004295401826
84	0.004218292802
85	0.004143053973
86	0.004070329024
87	0.003999665394
88	0.003932586548
89	0.00386698029
90	0.003803544255
91	0.003742304536
92	0.003682879583
93	0.003625088882
94	0.003568959988
95	0.003515010028
96	0.003462076215
97	0.003411159781
98	0.003360867998
99	0.003313047252
100	0.003266246634
101	0.003219873932
102	0.003175700251
103	0.003131923989
104	0.00308961493
105	0.00304862226
106	0.003008338071
107	0.002969321196
108	0.002931202208
109	0.002894123316
110	0.00285800959
111	0.002822708078
112	0.002788124318
113	0.002754344853
114	0.002721892883
115	0.002689388803
116	0.00265814106
117	0.002627325532
118	0.002597410185
119	0.002567933614
120	0.002539588306
121	0.002511446298
122	0.002484011198
123	0.002456925696
124	0.002430659977
125	0.002405326195
126	0.002380008625
127	0.002355073826
128	0.00233138223
129	0.00230741858
130	0.002283787013
131	0.002260620846
132	0.002238197783
133	0.00221659726
134	0.00219512491
135	0.002173951027
136	0.002153321228
137	0.002132781728
138	0.00211293128
139	0.002092607886
140	0.002072524807
141	0.002054003773
142	0.002035197933
143	0.002017386852
144	0.001999095552
145	0.001981714727
146	0.001964360302
147	0.00194769454
148	0.001930723284
149	0.001914307629
150	0.001897982043
151	0.001882350886
152	0.001866823765
153	0.001851099582
154	0.001836140215
155	0.001820971613
156	0.001806226435
157	0.001792103085
158	0.001777758943
159	0.001763985321
160	0.0017498377
161	0.00173665597
162	0.00172307596
163	0.001709622027
164	0.001696982379
165	0.001684020082
166	0.001671587367
167	0.001658813549
168	0.001646758902
169	0.001634619992
170	0.001622729319
171	0.001611148419
172	0.001599498039
173	0.00158782758
174	0.001576755616
175	0.001565544584
176	0.001554744266
177	0.001543674963
178	0.00153313197
179	0.001522496926
180	0.001512014626
181	0.00150190146
182	0.001491879602
183	0.001481867536
184	0.001472000438
185	0.001461989152
186	0.001452631204
187	0.001443049525
188	0.001433914727
189	0.001424241826
190	0.001415208318
191	0.001406167783
192	0.001397593568
193	0.001388554776
194	0.001380022203
195	0.001371332885
196	0.0013632235
197	0.001354586356
198	0.001346277258
199	0.001337981674
